,status,totalResults,articles
0,ok,2492,"{'source': {'id': None, 'name': 'Blogspot.com'}, 'author': 'noreply@blogger.com (Unknown)', 'title': 'Nervos launches cross-chain bridge to connect Ethereum and Cardano', 'description': 'A new cross-chain bridge is currently connected to Ethereum through a cross-chain bridge, with Cardano and other public chains to come in the future.Nervos\xa0today announced that the Force Bridge is now live on the mainnet. The Nervos Network is a collection of…', 'url': 'https://techncruncher.blogspot.com/2021/10/nervos-launches-cross-chain-bridge-to.html', 'urlToImage': 'https://blogger.googleusercontent.com/img/a/AVvXsEgPPOybYbMwmsXrgektLx2gAB_TxrtYlXuFMKC9_ufbyBE23UZ7meSKtNO9FgKdDh0FZf-ugBepgc9Iooy6XQ5s4NkDthhSo2pPF-X2A3Aa2mXtZ5KSkUA4QwB7tEzJ8y79T4iN0A7XC-Ac_RdFuEhCDUuirVAvxQH4b_LUtvyto6aM_sFaDt5v39HYnQ=w1200-h630-p-k-no-nu', 'publishedAt': '2021-10-16T18:50:00Z', 'content': 'A new cross-chain bridge is currently connected to Ethereum through a cross-chain bridge, with Cardano and other public chains to come in the future.\r\nNervos\xa0today announced that the Force Bridge is … [+3114 chars]'}"
1,ok,2492,"{'source': {'id': 'the-verge', 'name': 'The Verge'}, 'author': 'Kim Lyons', 'title': 'China’s central bank bans cryptocurrency transactions to avoid ‘risks’', 'description': 'China’s central bank on Friday said cryptocurrency transactions in the country are illegal, banning all transactions. It said cryptocurrencies like bitcoin and Ethereum are not legal tender and can’t be circulated.', 'url': 'https://www.theverge.com/2021/9/24/22691472/china-central-bank-cryptocurrency-illegal-bitcoin', 'urlToImage': 'https://cdn.vox-cdn.com/thumbor/mde_l3lUC4muDPEFG7LYrUz0O3g=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/8921023/acastro_bitcoin_2.jpg', 'publishedAt': '2021-09-24T16:22:55Z', 'content': 'Its the countrys latest crackdown on digital currencies\r\nIllustration by Alex Castro / The Verge\r\nThe Peoples Bank of China, the countrys central bank, said Friday that cryptocurrency transactions ar… [+1461 chars]'}"
2,ok,2492,"{'source': {'id': None, 'name': 'Entrepreneur'}, 'author': 'Entrepreneur Staff', 'title': 'Mark Cuban Heralds Ethereum, Bitcoin', 'description': 'Mark Cuban has some advice for people who are new to investing in cryptocurrency.', 'url': 'https://www.entrepreneur.com/article/391242', 'urlToImage': 'https://assets.entrepreneur.com/content/3x2/2000/1634231415-GettyImages-1234615179.jpg', 'publishedAt': '2021-10-14T17:10:45Z', 'content': 'Mark Cuban has some advice for people who are new to investing in cryptocurrency.\r\nAs an investment, I think ethereum has the most upside, he told CNBC Make It Wednesday. Bitcoin, he added, is better… [+1139 chars]'}"
3,ok,2492,"{'source': {'id': 'bbc-news', 'name': 'BBC News'}, 'author': 'https://www.facebook.com/bbcnews', 'title': ""Music company buys NFT of 'Side-eyeing Chloe' meme"", 'description': 'The image of two-year-old Chloe Clem making a disapproving face was auctioned in cryptocurrency.', 'url': 'https://www.bbc.co.uk/news/world-us-canada-58687070', 'urlToImage': 'https://ichef.bbci.co.uk/news/1024/branded_news/5C36/production/_120660632_thumbnail_chloesideeye_clean.jpg', 'publishedAt': '2021-09-25T04:30:25Z', 'content': ""image source, foundation.app/@SideEyeingChloe\r\nimage captionChloe Clem's disapproving look has become an internet sensation\r\nAn image of a popular internet meme, featuring a two-year-old girl, has be… [+2490 chars]""}"
4,ok,2492,"{'source': {'id': 'business-insider', 'name': 'Business Insider'}, 'author': 'ilee@insider.com (Isabelle Lee)', 'title': 'FTX launches US marketplace for solana NFTs with plans to expand to ethereum-based tokens', 'description': 'FTX also plans to roll out support for ethereum-based NFTs to compete with OpenSea, among others. The marketplace is only available to US customers.', 'url': 'https://markets.businessinsider.com/news/currencies/ftx-crypto-nft-solana-based-ethereum-trading-marketplace-launch-token-2021-10', 'urlToImage': 'https://images2.markets.businessinsider.com/616493242457a4001982cb21?format=jpeg', 'publishedAt': '2021-10-11T20:28:44Z', 'content': 'An immersive art installation, which will be converted into NFTs in Hong Kong, September 30, 2021.\r\nREUTERS/Tyrone Siu/File Photo\r\nFTX.US, an affiliate of cryptocurrency exchange FTX, is launching an… [+2138 chars]'}"
5,ok,2492,"{'source': {'id': 'business-insider', 'name': 'Business Insider'}, 'author': 'ilee@insider.com (Isabelle Lee)', 'title': 'Coinbase plans to launch its own NFT marketplace by the end of the year as it rides digital asset boom', 'description': 'The initial launch will support ethereum-based ERC-721 and ERC-1155 standards with plans to roll out multichain support after.', 'url': 'https://markets.businessinsider.com/news/currencies/coinbase-nft-marketplace-cryptocurrency-ethereum-solana-digital-asset-token-ftx-2021-10', 'urlToImage': 'https://images2.markets.businessinsider.com/6165933b991f6b0018655430?format=jpeg', 'publishedAt': '2021-10-12T17:00:00Z', 'content': 'Coinbase NFT\r\nRobert Nickelsberg/Getty Images\r\nCoinbase Global is joining the NFT bandwagon by launching its own marketplace by the end of the year.\r\nThe largest cryptocurrency exchange in the US on … [+2112 chars]'}"
6,ok,2492,"{'source': {'id': 'business-insider', 'name': 'Business Insider'}, 'author': 'ilee@insider.com (Isabelle Lee)', 'title': 'An ethereum-based ETF may come as soon as this year, but other altcoin funds will have to wait, an expert says', 'description': 'For other altcoin-futures ETFs, the question is if the underlying coins will list on the CME, said Trey Griggs, US CEO of crypto trading firm GSR.', 'url': 'https://markets.businessinsider.com/news/currencies/ethereum-based-etf-bitcoin-futures-proshares-valkyrie-crypto-sec-altcoins-2021-10', 'urlToImage': 'https://images2.markets.businessinsider.com/615c20c81725d20018b7c364?format=jpeg', 'publishedAt': '2021-10-22T12:43:12Z', 'content': 'Bitcoin and Ethereum.\r\nNurPhoto / Getty Images\r\nIf the blockbuster success of the first-ever bitcoin-futures exchange-traded fund is any indication, the debut of an ethereum-based one may just be as … [+3057 chars]'}"
7,ok,2492,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': None, 'title': 'Cryptocurrencies post inflows for 7 straight weeks, led by bitcoin -CoinShares data - Reuters', 'description': 'Cryptocurrency investment products and funds recorded inflows for a seventh straight week, as institutional investors warmed to more supportive statements from regulators, data from digital asset manager CoinShares showed on Monday.', 'url': 'https://www.reuters.com/business/cryptocurrencies-post-inflows-7-straight-weeks-led-by-bitcoin-coinshares-data-2021-10-04/', 'urlToImage': 'https://www.reuters.com/resizer/KWeO_uzi4ZJF4eFmoN3S4unMEPM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/Y5DHY7VEKBJ2VISD6DEX577MQY.jpg', 'publishedAt': '2021-10-04T21:52:00Z', 'content': 'Representations of cryptocurrencies Bitcoin, Ethereum, DogeCoin, Ripple, Litecoin are placed on PC motherboard in this illustration taken, June 29, 2021. REUTERS/Dado Ruvic/IllustrationNEW YORK, Oct … [+2228 chars]'}"
8,ok,2492,"{'source': {'id': 'reuters', 'name': 'Reuters'}, 'author': 'Reuters Staff', 'title': 'Bitcoin rises 9.5% to $47,980.97 - Reuters', 'description': 'Bitcoin was up 9.46% at $47,980.97 as of at 20:12 GMT on Friday, adding $4,146.54 to its previous close.', 'url': 'https://www.reuters.com/article/crypto-currency-bitcoin-idUSL4N2QX2V6', 'urlToImage': 'https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800', 'publishedAt': '2021-10-01T20:24:00Z', 'content': 'By Reuters Staff\r\nOct 1 (Reuters) - Bitcoin was up 9.46% at $47,980.97 as of at 20:12 GMT on Friday, adding $4,146.54 to its previous close.\r\nBitcoin, the worlds biggest and best-known cryptocurrency… [+239 chars]'}"
9,ok,2492,"{'source': {'id': None, 'name': 'Medium'}, 'author': None, 'title': 'Ethereum Services Are Centralized', 'description': 'Read writing from Michael Gummelt on Medium. Building http://plato.io. Every day, Michael Gummelt and thousands of other voices read, write, and share important stories on Medium.', 'url': 'https://michaelgummelt.medium.com', 'urlToImage': 'https://miro.medium.com/max/2400/0*obMZJ8j5uO2O8f6u', 'publishedAt': '2021-10-12T19:20:02Z', 'content': 'Ive always been vexed by the question of how to validate a startup idea. While it may be the most well-worn topic in all of startup theory, theres still no consensus on the best way to figure out if … [+351 chars]'}"
